Date of Contract;Municipality Name;Zone Name;Real Estate Type;Area in Square Meters;Price per Square Foot;Real Estate Value
2024-10-23;Al Daayen;Lusail 69;Residential Unit;128;896.11;1236000
2024-10-23;Al Daayen;Lusail 69;Residential Unit;141;737.86;1123200
2024-10-23;Doha;Al Thumama 50;Vacant Land;600;311;2006312
2024-10-23;Doha;Fereej Bin Omran;Residence;168;664;1200000
2024-10-23;Doha;Al Thumama 46;Residence;425;525;2400000
2024-10-23;Doha;Fereej Bin Omran;Residential Building;532;1484;8500000
2024-10-23;Doha;Al Thumama 50;Vacant Land;600;310;2000000
2024-10-23;Al Rayyan;Al Gharrafa;Residence;2108;296;6716000
2024-10-23;Al Daayen;Umm Qarn;Residence;559;399;2400000
2024-10-23;Al Wakrah;Al Wakrah;Vacant Land;1188;280;3580500
2024-10-23;Umm Slal;Umm Slal Ali;Vacant Land;628;275;1858943
2024-10-23;Umm Slal;Umm Al Amad;Vacant Land;588;253;1600000
2024-10-23;Doha;Nuaija 43;Residence;451;433;2100000
2024-10-23;Al Rayyan;Rawdat Egdaim;Vacant Land;945;350;3560000
2024-10-23;Al Wakrah;Al Mashaf;Vacant Land;581;200;1250806
2024-10-23;Umm Slal;Umm Al Amad;Residential Unit;400;393.97;1700000
2024-10-23;Doha;The Pearl Island;Residential Unit;113;1060.44;1300000
2024-10-23;Umm Slal;Umm Al Amad;Residence;564;527;3200000
2024-10-23;Al Wakrah;Al Wukair;Residence;459;553;2730000
2024-10-22;Doha;The Pearl Island;Residential Unit;176;1029.75;1959120
2024-10-22;Doha;Al Thumama 50;Vacant Land;578;275;1710937
2024-10-22;Al Rayyan;Al Maamoura 56;Residence;1185;431;5500000
2024-10-22;Al Daayen;Umm Qarn;Vacant Land;500;295;1587690
2024-10-22;Al Wakrah;Muaither  Al Wukair;Vacant Land;1000;210;2260440
2024-10-22;Al Daayen;Lusail 69;Residential Unit;115;1218.43;1513350
2024-10-22;Al Daayen;Lusail 69;Residential Unit;79;1042.41;890000
2024-10-22;Doha;The Pearl Island;Residential Unit;70;1421.92;1085000
2024-10-22;Al Daayen;Lusail;Residential Unit;178;2086.56;4013750
2024-10-22;Al Khor and Al Dakhira;Al Khor;Residence;494;387;2059061
2024-10-22;Doha;New Slata;Residence;451;515;2500000
2024-10-22;Doha;New Slata;Residence;450;516;2500000
2024-10-22;Doha;New Slata;Residence;450;413;2000000
2024-10-22;Al Rayyan;Al Mearad;Vacant Land;1001;237;2550000
2024-10-22;Al Rayyan;Ain Khalid;Vacant Land;1587;357;6100000
2024-10-22;Doha;The Pearl Island;Residential Unit;120;1251.18;1618126
2024-10-22;Doha;The Pearl Island;Residential Unit;128;1198.73;1663583
2024-10-22;Al Khor and Al Dakhira;Al Khor;Vacant Land;450;224;1086976
2024-10-22;Doha;Onaiza 66;Residence;875;637;6000000
2024-10-22;Doha;Fereej Bin Omran;Residence;127;805;1100000
2024-10-22;Doha;Al Thumama 50;Vacant Land;600;310;2002000
2024-10-22;Al Rayyan;Al Aziziya;Residence;695;272;2036212
2024-10-22;Al Rayyan;Muaither 53;Residence;928;185;1850000
2024-10-22;Al Rayyan;Ain Khalid;Vacant Land;1574;360;6100000
2024-10-22;Al Shamal;Al Ruwais;Vacant Land;466;120;600000
2024-10-21;Doha;Najma;Residence;169;1099;2000000
2024-10-21;Doha;Al Matar Al Qadeem;Residence;901;520;5040000
2024-10-21;Doha;Al Sadd 39;Residential Building;947;1373;14000000
2024-10-21;Al Wakrah;Al Wakrah;Residence;997;443;4750000
2024-10-21;Al Daayen;Lusail 69;Residential Unit;116;1205.56;1508000
2024-10-21;Doha;Hazm Al Markhiya;Residence;891;372;3564000
2024-10-21;Doha;Rawdat Al Khail;Residential Building;635;2633;18000000
2024-10-21;Doha;Duhail;Vacant Land;604;467;3033333
2024-10-21;Doha;Duhail;Vacant Land;606;465;3033333
2024-10-21;Al Daayen;Simaisma;Residence;860;270;2500000
2024-10-21;Al Daayen;Jeryan Jenaihat;Residence;649;716;5000000
2024-10-21;Doha;The Pearl Island;Residential Unit;128;967.97;1340000
2024-10-21;Al Khor and Al Dakhira;Al Khor;Vacant Land;970;220;2300000
2024-10-21;Doha;Duhail;Vacant Land;604;467;3033334
2024-10-21;Al Wakrah;Al Wukair;Residence;448;415;2000000
2024-10-20;Doha;The Pearl Island;Residential Unit;118;1566.13;2000000
2024-10-20;Doha;Rawdat Egdaim;Residential Unit;460;439.26;2175000
2024-10-20;Doha;The Pearl Island;Residential Unit;129;1317.4;1832958
2024-10-20;Umm Slal;Umm Al Amad;Residence;448;415;2000000
2024-10-20;Umm Slal;Umm Slal Ali;Residence;422;682;3100000
2024-10-20;Doha;Al Matar Al Qadeem;Residence;234;556;1400000
2024-10-20;Doha;Al Matar Al Qadeem;Residential Building;787;868;7350000
2024-10-20;Doha;Dahl Al Hamam;Residence;600;418;2700000
2024-10-20;Al Rayyan;Al Maamoura 56;Residence;428;499;2300000
2024-10-20;Al Rayyan;Muaither 55;Residence;613;485;3200000
2024-10-20;Al Daayen;Al Kheesa;Vacant Land;771;301;2500000
2024-10-20;Al Daayen;Jeryan Jenaihat;Commercial Residential Building;1200;1897;24500000
2024-10-20;Doha;Al Dafna 60;Residential Unit;154;1421.42;2368440
2024-10-20;Umm Slal;Umm Slal Ali;Vacant Land;525;290;1638000
2024-10-20;Umm Slal;Umm Slal Ali;Vacant Land;8525;177;16220000
2024-10-20;Doha;Al Thumama 47;Residence;600;898;5800000
2024-10-20;Doha;Legtaifiya;Vacant Land;7642;400;32903395
2024-10-20;Al Rayyan;Al Gharrafa;Residence;249;560;1500000
2024-10-20;Doha;The Pearl Island;Residential Unit;130;1052.15;1475000
2024-10-20;Doha;Rawdat Egdaim;Residential Unit;461;438.28;2175000
2024-10-20;Al Khor and Al Dakhira;Al Khor;Residence;520;509;2850000
2024-10-20;Doha;Fereej Bin Omran;Residence;127;622;850000
2024-10-20;Doha;Al Mansoura;Residential Building;822;2519;22290963
2024-10-20;Al Rayyan;Al Mearad;Vacant Land;880;210;1989236
2024-10-20;Al Daayen;Umm Qarn;Residence;559;399;2400000
2024-10-20;Al Daayen;Al Ebb;Residence;1200;1123;14500000
2024-10-17;Umm Slal;Umm Al Amad;Residence;1238;218;2900000
2024-10-17;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;464;200;998922
2024-10-17;Doha;Umm Ghuwailina;Residential building;568;1051;6424170
2024-10-17;Doha;Al Markhiya;Vacant Land;450;361;1750000
2024-10-17;Al Daayen;Al Kheesa;Residence;450;805;3900000
2024-10-17;Al Daayen;Umm Qarn;Vacant Land;560;305;1840644
2024-10-17;Al Daayen;Al Ebb;Vacant Land;1295;308;4293438
2024-10-17;Al Daayen;Umm Qarn;Residence;433;442;2061154
2024-10-17;Doha;Al Messila;Residential Building;910;1021;10000000
2024-10-17;Doha;Fereej Bin Omran;Vacant Land;338;632;2300000
2024-10-17;Al Rayyan;Gharrafat Al Rayyan;Residence;711;292;2236725
2024-10-17;Al Daayen;Simaisma;Residence;392;685;2892000
2024-10-17;Al Daayen;Lusail  69;Residential Unit;79;983.84;840000
2024-10-17;Al Rayyan;Muaither  55;Residence;820;283;2500000
2024-10-17;Al Daayen;Al Kheesa;Residence;524;479;2700000
2024-10-17;Al Daayen;Lusail  69;Residential Unit;115;865.58;1075000
2024-10-17;Doha;The Pearl Island;Residential Unit;100;1363.5;1475000
2024-10-17;Doha;The Pearl Island;Residential Unit;128;1318.64;1830000
2024-10-16;Umm Slal;Umm Al Amad;Residence;489;532;2800000
2024-10-16;Doha;Al Thumama  46;Vacant Land;465;430;2150000
2024-10-16;Al Rayyan;New Al Rayyan;Residence;876;261;2459537
2024-10-16;Doha;The Pearl Island;Residential Unit;265;1138.99;3250000
2024-10-16;Doha;The Pearl Island;Residential Unit;189;1029.42;2100000
2024-10-16;Doha;The Pearl Island;Residential Unit;146;1046.49;1649330
2024-10-16;Doha;The Pearl Island;Residential Unit;146;1068.38;1682910
2024-10-16;Doha;Al Jebailat;Residence;681;518;3800000
2024-10-16;Doha;Al Thumama  46;Vacant Land;450;444;2150000
2024-10-16;Al Rayyan;Luaib;Vacant Land;2423;227;5926069
2024-10-16;Al Rayyan;Luaib;Vacant Land;2790;227;6821550
2024-10-16;Al Rayyan;Luaib;Vacant Land;5213;227;12747619
2024-10-16;Doha;The Pearl Island;Residential Unit;135;1286.31;1870000
2024-10-16;Umm Slal;Umm Ebairiya;Residence;4891;155;8160000
2024-10-16;Doha;Al Hilal;Residence;823;213;1891230
2024-10-16;Doha;Umm Ghuwailina;Residential Building;452;1357;6600000
2024-10-16;Doha;Umm Lekhba;Vacant Land;540;387;2250000
2024-10-16;Doha;Al Thumama  46;Residence;435;747;3500000
2024-10-16;Doha;Al Thumama  46;Vacant Land;480;416;2150000
2024-10-16;Al Rayyan;Muaither  55;Residence;420;403;1820000
2024-10-16;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;525;286;1614000
2024-10-16;Al Daayen;Al Sakhama;Residence;600;604;3900000
2024-10-16;Doha;The Pearl Island;Residential Unit;119;1254.19;1617435
2024-10-15;Doha;Legtaifiya;Residence;1225;455;6000000
2024-10-15;Al Rayyan;Al Mearad;Residence;915;230;2269909
2024-10-15;Al Daayen;Umm Qarn;Vacant Land;759;265;2165000
2024-10-15;Al Wakrah;Al Wakrah;Vacant Land;571;309;1900000
2024-10-15;Al Wakrah;Al Wakrah;Vacant Land;520;339;1900000
2024-10-15;Doha;The Pearl Island;Residential Unit;59;1592.89;1020000
2024-10-15;Doha;The Pearl Island;Residential Unit;87;1034.03;973000
2024-10-15;Doha;Madinat Khalifa South;Residential Building;386;794;3300000
2024-10-15;Al Rayyan;Muaither  53;Residence;702;285;2150000
2024-10-15;Al Rayyan;Bu Hamour;Residence;900;330;3200000
2024-10-15;Al Wakrah;Al Wukair;Vacant Land;759;245;2000000
2024-10-15;Doha;The Pearl Island;Residential Unit;464;1119.85;5599694
2024-10-15;Doha;The Pearl Island;Residential Unit;265;1194.02;3412803
2024-10-15;Doha;Old Airport;Residence;560;432;2604417
2024-10-15;Doha;Al Thumama  47;Residence;600;898;5800000
2024-10-15;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;1200;294;3800000
2024-10-15;Al Daayen;Umm Qarn;Vacant Land;406;322;1407199
2024-10-15;Al Wakrah;Al Wukair;Vacant Land;700;230;1733000
2024-10-15;Doha;The Pearl Island;Residential Unit;121;1145.28;1499670
2024-10-15;Doha;The Pearl Island;Residential Unit;140;1165.34;1760000
2024-10-14;Doha;Old Airport;Residential Building;609;740;4850000
2024-10-14;Al Rayyan;Muaither  53;Residence;208;329;737145
2024-10-14;Al Rayyan;Muaither  53;Residence;602;247;1600000
2024-10-14;Al Daayen;Al Sakhama;Residence;450;413;2000000
2024-10-14;Al Daayen;Umm Qarn;Residence;371;568;2270000
2024-10-14;Al Daayen;Al Ebb;Vacant Land;540;460;2673000
2024-10-14;Al Wakrah;Al Wukair;Vacant Land;756;320;2600000
2024-10-14;Al Wakrah;Al Wukair;Residence;740;546;4350000
2024-10-14;Al Wakrah;Al Mashaf;Vacant Land;500;290;1560780
2024-10-14;Al Khor and Al Dakhira;Al Khor;Residence;400;465;2000000
2024-10-14;Doha;Madinat Khalifa North;Residence;658;325;2300000
2024-10-14;Al Rayyan;New Al Rayyan;Residence;1098;343;4050000
2024-10-14;Al Rayyan;Al Sailiya;Residence;645;264;1832000
2024-10-14;Al Rayyan;Muaither  53;Residence;958;267;2750000
2024-10-14;Al Rayyan;Gharrafat Al Rayyan;Residence;1238;355;4730000
2024-10-14;Al Rayyan;Izghawa  51;Residence;406;481;2100000
2024-10-14;Al Daayen;Al Ebb;Vacant Land;465;480;2400000
2024-10-14;Al Daayen;Al Ebb;Residence;652;413;2900000
2024-10-13;Doha;Madinat Khalifa South;Residence;208;491;1100000
2024-10-13;Doha;Madinat Khalifa South;Residence;914;437;4300000
2024-10-13;Al Rayyan;Luaib;Residence;980;270;2850000
2024-10-13;Al Rayyan;Al Gharrafa;Residence;230;283;700000
2024-10-13;Al Rayyan;Al Mearad;Residence;915;223;2200000
2024-10-13;Al Rayyan;Muraikh;Residence;600;763;4929741
2024-10-13;Al Rayyan;Ain Khalid;Vacant Land;464;400;2000000
2024-10-13;Al Wakrah;Al Wakrah;Vacant Land;450;330;1600000
2024-10-13;Al Wakrah;Al Wukair;Residence;630;538;3650000
2024-10-13;Umm Slal;Umm Slal Muhammed;Residence;881;608;5770258
2024-10-13;Doha;Al Thumama  46;Residence;725;500;3900000
2024-10-13;Doha;The Pearl Island;Residence;3958;1760;75000000
2024-10-13;Doha;Al Sadd  38;Residential Building;480;2555;13200000
2024-10-13;Al Rayyan;Al Gharrafa;Residence;59;315;200000
2024-10-13;Al Rayyan;Mebaireek;Residence;1042;223;2500000
2024-10-13;Al Shamal;Madinat Al Shamal;Residence;750;138;1115000
2024-10-13;Al Daayen;Jeryan Jenaihat;Residence;1200;387;5000000
2024-10-13;Al Wakrah;Al Wakrah;Residence;516;504;2800000
2024-10-13;Doha;The Pearl Island;Residential Unit;137;1058.66;1562759
2024-10-13;Doha;The Pearl Island;Residential Unit;163;1020.23;1800000
2024-10-13;Umm Slal;Umm Slal Muhammed;Vacant Land;369;210;834123
2024-10-13;Doha;Rawdat Al Khail;Residence;981;777;8200000
2024-10-13;Doha;Al Thumama  46;Residence;739;490;3900000
2024-10-13;Al Rayyan;Rawdat Al Jahhaniya;Residence;994;391;4185168
2024-10-13;Al Rayyan;New Al Rayyan;Residence;420;265;1200000
2024-10-13;Al Rayyan;Muaither  55;Residence;1118;283;3400000
2024-10-13;Al Rayyan;New Al Rayyan;Residence;495;638;3400000
2024-10-13;Al Rayyan;Al Aziziya;Residence;483;442;2300000
2024-10-13;Al Rayyan;Al Waab;Vacant Land;2175;833;19500000
2024-10-13;Al Daayen;Umm Qarn;Residence;400;609;2620000
2024-10-13;Doha;The Pearl Island;Residential Unit;140;1238.14;1871278
2024-10-10;Umm Slal;Al Kharaitiyat;Residence;850;322;2950000
2024-10-10;Doha;Al Messila;Residence;427;620;2850000
2024-10-10;Doha;Al Thumama  50;Vacant Land;600;310;2002000
2024-10-10;Al Shamal;Aba Al Dalouf;Vacant Land;660;127;900000
2024-10-10;Al Shamal;Al Ruwais;Vacant Land;510;164;900000
2024-10-10;Al Daayen;Simaisma;Residence;525;354;2000000
2024-10-10;Al Daayen;Umm Qarn;Vacant Land;1936;269;5600000
2024-10-10;Doha;The Pearl Island;Residential Unit;135;1357.43;1973400
2024-10-10;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;421;170;770000
2024-10-10;Doha;Fereej Bin Omran;Residential Building;974;1431;15000000
2024-10-10;Al Daayen;Umm Qarn;Residence;499;344;1850000
2024-10-10;Doha;Legtaifiya;Residential Unit;82;1132.83;1010000
2024-10-10;Doha;The Pearl Island;Residential Unit;177;1482.52;2825000
2024-10-10;Doha;The Pearl Island;Residential Unit;108;1544.38;1800000
2024-10-10;Umm Slal;Al Kharaitiyat;Residence;452;452;2200000
2024-10-10;Al Khor and Al Dakhira;Al Khor;Residence;794;220;1880000
2024-10-10;Al Rayyan;New Al Rayyan;Residence;743;250;2000000
2024-10-10;Al Rayyan;Al Mearad;Vacant Land;900;251;2430000
2024-10-10;Al Daayen;Al Ebb;Vacant Land;748;455;3663420
2024-10-10;Al Wakrah;Al Wukair;Vacant Land;900;279;2700000
2024-10-10;Doha;The Pearl Island;Residential Unit;183;1263.61;2490000
2024-10-10;Al Rayyan;Rawdat Egdaim;Residential Unit;460;438.8;2175000
2024-10-09;Al Khor and Al Dakhira;Al Khor;Residence;600;410;2650000
2024-10-09;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;465;190;950000
2024-10-09;Doha;Madinat Khalifa South;Residential Building;896;1452;14000000
2024-10-09;Al Rayyan;Muaither  53;Residential Building;628;444;3000000
2024-10-09;Al Rayyan;Gharrafat Al Rayyan;Residence;473;452;2300000
2024-10-09;Al Daayen;Al Ebb;Vacant Land;540;450;2615000
2024-10-09;Doha;The Pearl Island;Residential Unit;74;1236.63;997129
2024-10-09;Al Wakrah;Al Wukair;Vacant Land;709;200;1526000
2024-10-09;Doha;The Pearl Island;Residential Unit;118;1328.75;1700000
2024-10-09;Umm Slal;Umm Slal Ali;Residence;424;614;2800000
2024-10-09;Doha;Al Thumama  46;Vacant Land;442;380;1807921
2024-10-09;Doha;Najma;Residence;404;1167;5075000
2024-10-09;Al Rayyan;Al Aziziya;Residence;487;429;2250000
2024-10-09;Al Rayyan;Muaither  53;Residence;602;463;3000000
2024-10-09;Al Daayen;Al Ebb;Residence;540;705;4100000
2024-10-09;Doha;The Pearl Island;Residential Unit;73;1354.73;1075000
2024-10-08;Doha;Madinat Khalifa South;Vacant Land;375;463;1867520
2024-10-08;Doha;Onaiza  65;Residence;882;400;3800000
2024-10-08;Al Shamal;Al Ruwais;Vacant Land;680;137;1000000
2024-10-08;Al Daayen;Umm Qarn;Vacant Land;318;292;1000000
2024-10-08;Doha;The Pearl Island;Residential Unit;228;1039.73;2561310
2024-10-08;Doha;The Pearl Island;Residential Unit;494;1013.92;5400038
2024-10-08;Al Khor and Al Dakhira;Al Khor;Vacant Land;570;228;1400000
2024-10-08;Doha;Al Thumama  46;Residence;420;509;2300000
2024-10-08;Doha;Nuaija  44;Residence;430;497;2300000
2024-10-08;Al Shamal;Al Ruwais;Vacant Land;648;143;1000000
2024-10-08;Al Daayen;Jeryan Jenaihat;Vacant Land;9453;324;33000000
2024-10-08;Doha;The Pearl Island;Residential Unit;165;1079.57;1922250
2024-10-08;Doha;The Pearl Island;Residential Unit;118;1110.05;1411355
2024-10-08;Doha;The Pearl Island;Residential Unit;118;1507.63;1930000
2024-10-08;Doha;Al Dafna  60;Residential Unit;154;1421.42;2368440
2024-10-08;Umm Slal;Al Kharaitiyat;Residence;600;650;4200000
2024-10-08;Al Khor and Al Dakhira;Al Khor;Residence;400;348;1500000
2024-10-08;Doha;Duhail;Vacant Land;646;280;1950000
2024-10-08;Al Daayen;Umm Qarn;Residence;381;512;2100000
2024-10-07;Doha;Al Mansoura;Residential Building;407;1518;6648000
2024-10-07;Doha;Old Airport;Vacant Land;327;537;1890500
2024-10-07;Al Wakrah;Al Wakrah;Residence;980;318;3350000
2024-10-07;Doha;The Pearl Island;Residential Unit;192;1156.18;2394665
2024-10-07;Doha;Dahl Al Hamam;Residence;487;567;2970000
2024-10-07;Al Rayyan;Gharrafat Al Rayyan;Residence;1102;363;4300000
2024-10-07;Al Khor and Al Dakhira;Al Khor;Residence;400;337;1450000
2024-10-07;Doha;Najma;Hotel Apartments;1140;4156;51000000
2024-10-07;Doha;Dahl Al Hamam;Residence;484;570;2970000
2024-10-07;Al Rayyan;Muraikh;Apartment Complex;29721;362;115829959
2024-10-07;Al Rayyan;Al Aziziya;Vacant Land;576;266;1650000
2024-10-07;Al Daayen;Rawdat Al Hamama;Vacant Land;1160;365;4557000
2024-10-07;Al Wakrah;Al Mashaf;Vacant Land;1052;238;2700000
2024-10-07;Al Wakrah;Al Wukair;Residence;2012;199;4300000
2024-10-07;Doha;The Pearl Island;Residential Unit;267;1157.26;3332030
2024-10-07;Doha;The Pearl Island;Residential Unit;182;1155.46;2271165
2024-10-06;Umm Slal;Umm Ebairiya;Vacant Land;750;242;1950000
2024-10-06;Doha;Umm Lekhba;Vacant Land;450;310;1500000
2024-10-06;Doha;Al Thumama  46;Vacant Land;426;380;1742475
2024-10-06;Doha;Madinat Khalifa South;Residential Building;407;890;3900000
2024-10-06;Doha;Najma;Residence;114;1190;1460700
2024-10-06;Doha;Madinat Khalifa South;Residential Building;194;479;1000000
2024-10-06;Al Rayyan;Muaither  53;Residence;399;233;1000000
2024-10-06;Al Daayen;Umm Qarn;Vacant Land;478;292;1500000
2024-10-06;Doha;Al Thumama  46;Vacant Land;418;380;1709753
2024-10-06;Doha;Al Thumama  46;Vacant Land;426;380;1742477
2024-10-06;Doha;Al Thumama  46;Vacant Land;418;380;1709754
2024-10-06;Doha;Rawdat Al Khail;Residence;82;889;785000
2024-10-06;Al Rayyan;Al Mearad;Residence;900;227;2200000
2024-10-06;Al Rayyan;Umm Al Senaim;Vacant Land;1168;330;4148870
2024-10-06;Al Shamal;Al Ruwais;Vacant Land;956;136;1400000
2024-10-06;Al Daayen;Jeryan Jenaihat;Vacant Land;454;375;1832000
2024-10-06;Al Daayen;Umm Qarn;Residence;499;568;3050000
2024-10-06;Al Daayen;Umm Qarn;Vacant Land;532;300;1717500
2024-10-06;Doha;Al Kharayej;Residential Unit;120;981.21;1275000
2024-10-03;Doha;Legtaifiya;Residential Unit;138;981.39;1460000
2024-10-03;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;465;200;1000000
2024-10-03;Doha;Madinat Khalifa South;Residence;208;357;800000
2024-10-03;Al Shamal;Madinat Al Shamal;Vacant Land;1360;142;2080000
2024-10-03;Al Daayen;Simaisma;Vacant Land;650;289;2025000
2024-10-03;Al Wakrah;Al Mashaf;Commercial Building;2024;1790;39000000
2024-10-03;Doha;The Pearl Island;Residential Unit;182;1528.35;3000000
2024-10-03;Doha;The Pearl Island;Residential Unit;190;1037.86;2127491
2024-10-03;Doha;The Pearl Island;Residential Unit;309;1215.34;4050000
2024-10-03;Doha;The Pearl Island;Residential Unit;229;1024.33;2532725
2024-10-03;Al Khor and Al Dakhira;Al Khor;Residence;490;246;1300000
2024-10-03;Al Wakrah;Al Wukair;Residence;758;552;4500000
2024-10-03;Al Daayen;Lusail  69;Residential Unit;79;1018.98;870000
2024-10-03;Doha;Legtaifiya;Residential Unit;83;1284.43;1150000
2024-10-03;Doha;Umm Lekhba;Vacant Land;900;446;4324510
2024-10-03;Al Daayen;Ghar Thaileb;Vacant Land;8782;644;60862785
2024-10-03;Al Daayen;Jeryan Jenaihat;Residence;419;532;2400000
2024-10-02;Doha;Al Sadd 39;Residential Building;829;1905;17000000
2024-10-02;Doha;Al Matar Al Qadeem;Residential Building;482;752;3900000
2024-10-02;Al Wakrah;Al Wukair;Vacant Land;528;352;2000000
2024-10-02;Al Wakrah;Al Wukair;Residence;450;413;2000000
2024-10-02;Doha;The Pearl Island;Residential Unit;249;856.47;2299121
2024-10-02;Doha;The Pearl Island;Residential Unit;175;1590.62;3000000
2024-10-02;Doha;The Pearl Island;Residential Unit;145;1307.24;2050000
2024-10-02;Umm Slal;Umm Slal Muhammed;Residence;1110;327;3910000
2024-10-02;Doha;New Slata;Administrative building;906;820;8000000
2024-10-02;Al Rayyan;Al Waab;Residence;1330;768;11000000
2024-10-02;Al Wakrah;Al Wakrah;Residence;523;302;1700000
2024-10-02;Doha;The Pearl Island;Residential Unit;158;1541.11;2634225
2024-10-02;Doha;The Pearl Island;Residential Unit;79;1215.96;1037520
2024-10-02;Umm Slal;Umm Slal Ali;Vacant Land;1268;240;3275000
2024-10-02;Doha;Fereej Bin Derhem;Residential Building;229;1379;3400000
2024-10-02;Al Rayyan;Al Aziziya;Residence;561;381;2300000
2024-10-02;Al Rayyan;Muaither53;Shops;405;1606;7000000
2024-10-02;Al Daayen;Al Ebb;Vacant Land;746;460;3693700
2024-10-02;Al Daayen;Al Sakhama;Residence;450;420;2032000
2024-10-02;Al Wakrah;Al Wakrah;Vacant Land;1063;267;3050000
2024-10-01;Doha;Legtaifiya;Residential Unit;170;854.71;1567036
2024-10-01;Umm Slal;Umm Slal Ali;Vacant Land;525;295;1667000
2024-10-01;Doha;Al Thumama 46;Residence;450;764;3700000
2024-10-01;Al Rayyan;Al Shaqab;Residence;218;334;784000
2024-10-01;Al Rayyan;Muaither 55;Residence;419;358;1615616
2024-10-01;Al Rayyan;Al Luqta;Residence;571;328;2017000
2024-10-01;Al Daayen;Umm Qarn;Residence;616;475;3150000
2024-10-01;Al Daayen;Simaisma;Residence;538;449;2600000
2024-10-01;Al Daayen;Jeryan Jenaihat;Residence;540;378;2200000
2024-10-01;Doha;Al Matar Al Qadeem;Residential Building;479;727;3750000
2024-10-01;Al Rayyan;Muaither 55;Residence;738;321;2550000
2024-10-01;Al Daayen;Al Kheesa;Residence;524;479;2700000
2024-10-01;Al Daayen;Lusail 69;Residence;1625;656;11474752
2024-10-01;Doha;The Pearl Island;Residential Unit;175;1483.48;2800000
2024-10-01;Doha;The Pearl Island;Residential Unit;87;1368.62;1293000
2024-10-01;Umm Slal;Umm Slal Muhammed;Vacant Land;1085;280;3270000
2024-10-01;Doha;Umm Lekhba;Vacant Land;868;374;3490000
2024-10-01;Al Rayyan;Al Luqta;Residence;1149;323;4000000
2024-10-01;Al Rayyan;Al Waab;Vacant Land;1837;910;18000000
2024-10-01;Al Daayen;Al Ebb;Vacant Land;541;474;2761000
2024-10-01;Al Wakrah;Al Wukair;Residence;459;374;1850000
2024-09-30;Al Rayyan;Al Aziziya;Residence;644;462;3200000
2024-09-30;Al Rayyan;Al Aziziya;Vacant Land;976;381;4000000
2024-09-30;Al Daayen;Al Kharayej;Vacant Land;1999;1000;21517000
2024-09-30;Doha;The Pearl Island;Residential Unit;148;1020.22;1635700
2024-09-30;Al Khor and Al Dakhira;Al Dakhira;Residence;450;252;1220000
2024-09-30;Al Rayyan;Umm Al Senaim;Vacant Land;1200;298;3850000
2024-09-30;Doha;The Pearl Island;Residential Unit;193;1147.84;2391596
2024-09-30;Al Khor and Al Dakhira;Al Khor;Residence;727;447;3500000
2024-09-30;Al Daayen;Lusail 69;Vacant Land;3359;1100;39771904
2024-09-29;Doha;Al Thumama 50;Vacant Land;934;234;2350000
2024-09-29;Doha;Al Thumama 50;Vacant Land;924;231;2300000
2024-09-29;Doha;Onaiza 65;Vacant Land;875;304;2863637
2024-09-29;Al Rayyan;Muaither 53;Vacant Land;440;324;1533333
2024-09-29;Al Khor and Al Dakhira;Al Khor;Residence;432;296;1375000
2024-09-29;Doha;Al Thumama 46;Vacant Land;468;298;1500000
2024-09-29;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;600;310;2000000
2024-09-29;Al Rayyan;Muaither 53;Vacant Land;437;326;1533333
2024-09-29;Al Rayyan;Al Maamoura56;Residence;577;435;2700000
2024-09-29;Al Rayyan;Al Maamoura 56;Residence;462;402;2000000
2024-09-29;Umm Slal;Umm Al Amad;Vacant Land;2876;230;7120000
2024-09-29;Al Khor and Al Dakhira;Al Khor;Vacant Land;525;248;1400000
2024-09-29;Doha;Najma;Residential Building;131;1433;2020000
2024-09-29;Doha;Nuaija 44;Residence;450;475;2300000
2024-09-29;Doha;Al Thumama 46;Vacant Land;469;297;1500000
2024-09-26;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;551;185;1100000
2024-09-26;Al Shamal;Aba Al Dalouf;Vacant Land;590;145;920000
2024-09-26;Al Daayen;Lusail  69;Residential Unit;70;1236.18;938080
2024-09-26;Doha;The Pearl Island;Residential Unit;128;1100.64;1527465
2024-09-26;Al Khor and Al Dakhira;Al Khor;Residence;1021;380;4176000
2024-09-26;Doha;Al Thumama  47;Residence;678;534;3900000
2024-09-26;Doha;Nuaija  44;Residence;407;457;2000000
2024-09-26;Doha;Nuaija  44;Residence;555;368;2200000
2024-09-26;Doha;Nuaija 44;Residence;451;474;2300000
2024-09-26;Doha;Old Airport;Vacant Land;521;713;4000000
2024-09-26;Al Daayen;Umm Qarn;Residence;352;475;1800000
2024-09-26;Umm Slal;Umm Slal Ali;Vacant Land;420;243;1100000
2024-09-26;Umm Slal;Al Kharaitiyat;Vacant Land;613;280;1847500
2024-09-26;Doha;Nuaija  44;Residence;442;420;2000000
2024-09-26;Doha;Al Thumama  50;Vacant Land;1682;245;4435000
2024-09-26;Al Wakrah;Al Wukair;Residence;720;400;3100000
2024-09-26;Doha;Al Kharayej;Residential Unit;104;982.34;1100000
